pi_time,state_time,mot_ang,mot_vel,mot_acc,mot_volt,mot_cur,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang
1713469392.177991,0,0,0,0,0,0,0,0,0,0,0,0,0
1713469392.1884742,0,0,0,0,0,0,0,0,0,0,0,0,0
1713469392.1984642,7196016,996,-233,-252,-800,-813,24013,240,35,79,0,0,3915
1713469392.2084703,7196026,913,-164,-55,-800,-1189,24012,253,35,79,0,0,3913
1713469392.2184527,7196036,850,-123,98,-800,-1597,24010,263,35,79,0,0,3910
1713469392.2284272,7196046,798,-100,55,-800,-1667,24011,252,35,79,0,0,3908
1713469397.9066148,7201724,1151,-3,1,0,-4,24011,261,35,79,0,0,3916
1713469397.9105632,7201728,1153,4,-3,0,-3,24011,261,35,79,0,0,3916
1713469397.914575,7201732,1145,-42,-1,-712,-338,24016,241,35,79,0,0,3917
1713469397.9185615,7201736,1103,-231,-82,-1120,-908,24016,241,35,79,0,0,3916
1713469397.9225786,7201740,1040,-348,-207,-1424,-1100,24016,241,35,79,0,0,3916
1713469397.9265664,7201744,962,-430,-328,-1512,-1208,24018,252,35,79,0,0,3914
1713469397.9305582,7201748,883,-432,-400,-1312,-1307,24018,252,35,79,0,0,3911
1713469397.9345593,7201752,817,-363,-363,-1136,-1332,24014,279,35,79,0,0,3910
1713469397.9385622,7201756,777,-223,-199,-688,-1345,24014,279,35,79,0,0,3907
1713469397.9425554,7201760,763,-79,61,-368,-1390,24014,279,35,79,0,0,3906
1713469397.94656,7201764,768,30,284,-216,-1371,24012,306,35,79,0,0,3907
1713469397.950558,7201768,790,118,430,-128,-1321,24012,306,35,79,0,0,3907
1713469397.9545562,7201772,822,178,486,-136,-1274,24014,288,35,79,0,0,3907
1713469397.9585612,7201776,847,136,426,-192,-1244,24014,288,35,79,0,0,3909
1713469397.9625595,7201780,866,105,282,-216,-1248,24014,288,35,79,0,0,3910
1713469397.9665592,7201784,875,45,124,-320,-1242,24022,245,35,79,0,0,3910
1713469397.9705572,7201788,870,-25,-34,-408,-1215,24022,245,35,79,0,0,3910
1713469397.974558,7201792,862,-48,-144,-424,-1227,24019,234,35,79,0,0,3910
1713469397.978562,7201796,855,-37,-189,-376,-1266,24019,234,35,79,0,0,3910
1713469397.9825556,7201800,854,0,-150,-304,-1287,24019,234,35,79,0,0,3908
1713469397.9865685,7201804,858,18,-72,-272,-1283,24011,223,35,79,0,0,3910
1713469397.9905622,7201808,860,15,3,-296,-1267,24011,223,35,79,0,0,3909
1713469397.9945562,7201812,864,18,52,-320,-1253,24008,222,35,79,0,0,3909
1713469397.9985578,7201816,864,0,51,-360,-1245,24008,222,35,79,0,0,3910
1713469398.0026112,7201820,861,-12,13,-360,-1250,24008,222,35,79,0,0,3910
1713469398.0065641,7201824,861,-2,-16,-352,-1260,24010,205,35,79,0,0,3909
1713469398.0105572,7201828,861,-1,-17,-336,-1266,24010,205,35,79,0,0,3908
1713469398.0145552,7201832,862,4,-14,-344,-1263,24019,207,35,79,0,0,3910
1713469398.0185614,7201836,862,-2,-1,-352,-1254,24019,207,35,79,0,0,3910
1713469398.0225596,7201840,860,-2,6,-352,-1260,24019,207,35,79,0,0,3910
1713469398.0265684,7201844,861,1,6,-344,-1265,24014,217,35,79,0,0,3909
1713469398.0305579,7201848,862,0,-3,-344,-1264,24014,217,35,79,0,0,3910
1713469398.0345592,7201852,861,-2,-3,-352,-1261,24009,225,35,79,0,0,3908
1713469398.0385697,7201856,861,0,-1,-344,-1262,24009,225,35,79,0,0,3908
1713469398.0500712,7201867,861,-4,-1,-352,-1262,24007,217,35,79,0,0,3909
1713469398.0535944,7201871,862,9,3,-352,-1260,24011,210,35,79,0,0,3909
1713469398.0560348,7201873,861,0,1,-336,-1265,24011,210,35,79,0,0,3908
1713469398.057549,7201875,861,-3,-4,-352,-1262,24011,210,35,79,0,0,3909
1713469398.0590923,7201876,861,-1,1,-344,-1263,24011,210,35,79,0,0,3909
1713469398.0626028,7201880,862,2,-1,-352,-1255,24011,210,35,79,0,0,3908
1713469398.0688064,7201886,862,-1,0,-352,-1259,24013,200,35,79,0,0,3910
1713469398.070564,7201888,860,-5,-3,-344,-1261,24013,200,35,79,0,0,3909
1713469398.074562,7201892,862,6,1,-344,-1263,24011,193,35,79,0,0,3910
1713469398.0785656,7201896,861,-1,-2,-352,-1262,24011,193,35,79,0,0,3909
1713469398.0825615,7201900,863,7,3,-344,-1261,24011,193,35,79,0,0,3908
1713469398.0865629,7201904,862,-7,4,-352,-1264,24011,191,35,79,0,0,3908
1713469398.0905602,7201908,861,-3,3,-352,-1260,24011,191,35,79,0,0,3908
1713469398.094563,7201912,861,1,-2,-352,-1264,24014,205,35,79,0,0,3908
1713469398.0985637,7201916,861,-7,-2,-344,-1264,24014,205,35,79,0,0,3910
1713469398.1025622,7201920,859,-6,-8,-344,-1259,24014,205,35,79,0,0,3909
1713469398.1065836,7201924,861,6,-1,-352,-1259,24017,215,35,79,0,0,3909
1713469398.1106076,7201928,861,2,4,-352,-1258,24017,215,35,79,0,0,3908
1713469398.1145668,7201932,862,2,4,-352,-1260,24014,216,35,79,0,0,3909
1713469398.118565,7201936,860,-5,-2,-352,-1262,24014,216,35,79,0,0,3910
1713469398.1225722,7201940,861,4,-1,-352,-1262,24014,216,35,79,0,0,3909
1713469398.1272156,7201944,862,2,2,-352,-1263,24013,202,35,79,0,0,3909
1713469398.1305766,7201948,861,0,-7,-360,-1262,24013,202,35,79,0,0,3910
1713469398.1345577,7201952,862,1,2,-344,-1262,24014,200,35,79,0,0,3909
1713469398.1385581,7201956,861,-2,-2,-344,-1264,24014,200,35,79,0,0,3909
1713469398.1425588,7201960,861,2,-2,-352,-1259,24014,200,35,79,0,0,3909
1713469398.1465657,7201964,861,-4,-1,-344,-1259,24017,199,35,79,0,0,3909
1713469398.1505632,7201968,861,1,-1,-352,-1258,24017,199,35,79,0,0,3907
1713469398.1545553,7201972,862,1,4,-344,-1256,24013,198,35,79,0,0,3908
1713469398.1592348,7201976,861,-1,0,-352,-1263,24013,198,35,79,0,0,3909
1713469398.1625586,7201980,861,1,0,-344,-1264,24013,198,35,79,0,0,3909
1713469398.1665542,7201984,862,5,0,-352,-1263,24010,204,35,79,0,0,3909
1713469398.170565,7201988,862,0,0,-352,-1262,24010,204,35,79,0,0,3909
1713469398.1745563,7201992,861,-3,4,-352,-1264,24008,203,35,79,0,0,3909
1713469398.1785598,7201996,861,3,1,-352,-1262,24008,203,35,79,0,0,3908
1713469398.182564,7202000,861,-1,2,-352,-1262,24008,203,35,79,0,0,3908
1713469398.1865585,7202004,861,1,-1,-344,-1264,24012,203,35,79,0,0,3909
1713469398.190555,7202008,862,3,0,-352,-1263,24012,203,35,79,0,0,3908
1713469398.1945567,7202012,861,-1,-1,-344,-1261,24009,207,35,79,0,0,3909
1713469398.1986158,7202016,861,-2,4,-352,-1259,24009,207,35,79,0,0,3908
1713469398.2025614,7202020,862,5,3,-352,-1261,24009,207,35,79,0,0,3909
1713469398.2065632,7202024,861,-3,0,-352,-1260,24004,208,35,79,0,0,3910
1713469398.2105541,7202028,861,0,-1,-360,-1259,24004,208,35,79,0,0,3908
1713469398.214553,7202032,861,2,1,-352,-1260,24005,190,35,79,0,0,3910
1713469398.2185729,7202036,861,0,3,-344,-1263,24005,190,35,79,0,0,3910
1713469398.2225542,7202040,861,0,2,-352,-1263,24005,190,35,79,0,0,3909
1713469398.2265544,7202044,862,1,1,-352,-1261,24010,198,35,79,0,0,3910
1713469398.2305596,7202048,862,0,3,-352,-1262,24010,198,35,79,0,0,3910
1713469398.234556,7202052,861,-3,-1,-352,-1263,24014,192,35,79,0,0,3910
1713469398.238667,7202056,860,-2,-3,-352,-1263,24014,192,35,79,0,0,3910
1713469398.2425547,7202060,861,3,1,-352,-1260,24014,192,35,79,0,0,3909
1713469398.246601,7202064,861,1,-2,-352,-1260,24014,204,35,79,0,0,3910
